Region,Number of households,Number of households in fuel poverty,Proportion of households fuel poor (%)
North East," 1,203,514 "," 131,122 ", 10.9 
North West," 3,242,792 "," 458,323 ", 14.1 
Yorkshire and The Humber," 2,400,499 "," 408,890 ", 17.0 
East Midlands," 2,110,928 "," 317,789 ", 15.1 
West Midlands," 2,514,178 "," 493,723 ", 19.6 
East," 2,687,733 "," 269,281 ", 10.0 
London," 3,683,167 "," 383,768 ", 10.4 
South East," 3,921,544 "," 381,503 ", 9.7 
South West," 2,563,587 "," 330,669 ", 12.9 
All households," 24,327,942 "," 3,175,068 ", 13.1 
