Name of Supply,Postcode,OS Grid Ref,Type of Water Use e.g. Domestic,Source
John Penny and Sons,LS19 6NU,SE214310 391920,Commercial/Large,Borehole
Goodall's Beech Grove Farm,LS14 3HG,SE354010 695910,Commercial/Large,Borehole
William Strikes Ltd,LS25 2AQ,SE416110 319480,Commercial/Large,Borehole
Scarcroft golf Club,LS14 3BQ,SE362390 418790,Commercial/Large,Borehole
Moor Valley Leisure Ltd,LS20 8PG,SE154750 416100,Commercial/Large,Borehole
Chevin Country Park Hotel & Spa,LS21 3NU,SE211680 438730,Commercial/Large,Borehole
Greenside Farm, LS19 7DW,SE203460 401850,Commercial/Large,Borehole
Stubhouse Farm,LS17 9LF,SE307750 445830,Commercial/Large,Borehole
Chevin Forest Park The White House,LS21  3JL,SE201190 445560,Commercial/Large,Spring
Hopewell Equestrian Centre,LS20 9NW,SE207440 429750,Commercial/Large,Borehole
Olicana Properties,LS21 1PH,SE273600 449620,Commercial/Large,Spring
Burden Head Farm,LS16 8AY,SE289930 435180,Commercial/Large,Borehole
Green Gaits Farm,LS18 5HY,SE232220 425650,Commercial,Borehole
Creskeld Hall / Creskeld House,LS21 1NT,SE 259600 443080,Commercial  ,Spring
Linton Springs Farm,LS22 4AQ,SE 374020480690,Commercial,Borehole
Goodhalls Beech Grove Farm,LS14 3HG,SE354010695910,Commercial,Borehole
